"","NSI","pi","piHC","piMetals"
"SWARM_1246",NA,NA,NA,NA
"SWARM_1242",NA,NA,NA,NA
"SWARM_25614",NA,NA,NA,NA
"SWARM_25615",NA,NA,NA,NA
"SWARM_44807",NA,NA,NA,NA
"SWARM_44808",27.44,NA,NA,NA
"SWARM_26336",NA,NA,0.138888888888889,NA
"SWARM_37306",NA,NA,NA,NA
"SWARM_175",NA,2.62087399938424,NA,2.01418479748221
"SWARM_179",NA,NA,NA,NA
"SWARM_62487",NA,NA,NA,NA
"SWARM_23462",NA,NA,NA,NA
"SWARM_6232",NA,NA,NA,NA
"SWARM_6234",27.35,NA,NA,NA
"SWARM_6239",NA,NA,NA,NA
"SWARM_2075",NA,NA,NA,NA
"SWARM_2070",28.415,NA,NA,NA
"SWARM_2071",NA,NA,NA,NA
"SWARM_2079",22.525,1.87884035949948,4.17416666666667,2.42572223932677
"SWARM_4891",NA,NA,NA,NA
"SWARM_4898",NA,NA,NA,NA
"SWARM_9166",NA,NA,NA,NA
"SWARM_21334",NA,NA,NA,NA
"SWARM_21330",NA,NA,NA,NA
"SWARM_17704",NA,NA,NA,NA
"SWARM_3534",NA,NA,NA,NA
"SWARM_26815",NA,NA,NA,NA
"SWARM_37400",NA,NA,NA,NA
"SWARM_20888",NA,NA,NA,NA
"SWARM_8390",28.29,NA,NA,NA
"SWARM_57997",NA,NA,NA,NA
"SWARM_4512",NA,NA,NA,NA
"SWARM_14857",NA,NA,NA,NA
"SWARM_2911",NA,0.215550538222952,NA,0.0835351669403394
"SWARM_2917",NA,NA,NA,NA
"SWARM_9828",NA,NA,NA,NA
"SWARM_3830",26.5,NA,NA,NA
"SWARM_3834",NA,NA,NA,NA
"SWARM_3837",NA,0.100644157088123,0.0737962962962963,0.368397646414889
"SWARM_1489",NA,NA,NA,NA
"SWARM_26740",NA,NA,NA,NA
"SWARM_32256",NA,NA,NA,NA
"SWARM_20741",NA,NA,NA,NA
"SWARM_20745",27.845,NA,NA,NA
"SWARM_10418",NA,NA,NA,NA
"SWARM_22588",NA,NA,NA,NA
"SWARM_22586",NA,NA,NA,NA
"SWARM_31136",NA,NA,NA,NA
"SWARM_46810",NA,NA,NA,NA
"SWARM_15618",NA,NA,NA,NA
"SWARM_15615",24.945,NA,0.186574074074074,NA
"SWARM_13612",NA,NA,NA,NA
