"","NSI","pi","piHC","piMetals"
"SWARM_877",0,1,1,1
"SWARM_49922",0,0,0,0
"SWARM_12637",0,0,0,0
"SWARM_10673",0,0,0,0
"SWARM_6305",0,0,0,0
"SWARM_6307",0,0,0,0
"SWARM_6300",0,1,0,0
"SWARM_6308",0,0,0,0
"SWARM_6309",0,0,0,0
"SWARM_5456",0,0,0,0
"SWARM_5453",0,0,0,0
"SWARM_10090",0,0,1,0
"SWARM_2100",1,0,0,0
"SWARM_2101",0,4,4,4
"SWARM_57566",0,0,0,0
"SWARM_49550",0,0,0,0
"SWARM_19756",0,0,0,0
"SWARM_19757",0,0,0,0
"SWARM_44645",0,0,0,0
"SWARM_38246",0,0,0,0
"SWARM_1279",0,0,0,0
"SWARM_4607",0,1,1,1
"SWARM_8585",0,0,0,1
"SWARM_8580",0,0,0,0
"SWARM_2601",0,1,0,1
"SWARM_2603",0,0,0,0
"SWARM_35463",0,0,0,0
"SWARM_3994",0,0,0,0
"SWARM_46144",0,0,0,0
"SWARM_29904",0,0,0,0
"SWARM_1397",0,0,0,0
"SWARM_1394",0,0,0,0
"SWARM_9981",0,0,0,0
"SWARM_28624",0,0,0,0
"SWARM_28625",0,0,0,0
"SWARM_29572",0,0,0,0
"SWARM_9676",0,0,0,0
"SWARM_22291",0,0,0,0
"SWARM_69635",0,0,0,0
"SWARM_36941",0,0,0,0
"SWARM_19400",0,0,0,0
"SWARM_10202",0,0,0,0
"SWARM_10205",0,0,0,0
"SWARM_15183",1,1,1,1
"SWARM_13729",0,0,0,0
"SWARM_13724",0,0,0,0
"SWARM_7255",0,0,0,0
"SWARM_7257",0,0,0,0
"SWARM_7879",0,0,0,0
"SWARM_18023",0,0,0,0
"SWARM_1845",1,0,0,0
"SWARM_23098",0,0,0,0
"SWARM_1459",0,0,0,0
"SWARM_1452",0,0,0,0
"SWARM_20549",0,0,0,0
"SWARM_33132",0,0,0,0
"SWARM_33610",0,0,0,0
"SWARM_21639",0,0,0,0
"SWARM_15068",0,0,0,0
"SWARM_5721",0,0,0,0
"SWARM_8058",0,0,0,0
"SWARM_17832",0,0,0,0
"SWARM_54103",0,0,0,0
"SWARM_6407",0,0,0,0
"SWARM_19494",0,0,0,0
"SWARM_11005",0,0,0,0
"SWARM_11006",0,0,0,0
"SWARM_21533",0,0,0,0
"SWARM_28708",0,0,0,0
"SWARM_14608",0,0,0,0
"SWARM_13373",0,0,0,0
"SWARM_16299",0,0,0,0
"SWARM_16293",0,0,0,0
"SWARM_4350",5,0,0,0
"SWARM_4359",0,0,0,0
"SWARM_5085",1,0,0,1
"SWARM_6198",0,0,0,0
"SWARM_8793",0,0,0,0
"SWARM_1644",0,0,0,0
"SWARM_27855",0,0,0,0
"SWARM_21868",0,0,0,0
"SWARM_23836",0,0,0,0
"SWARM_21093",0,0,0,0
"SWARM_25167",0,0,0,0
"SWARM_12926",0,0,0,0
"SWARM_19047",0,0,0,0
"SWARM_11695",0,0,0,0
"SWARM_68842",0,0,0,0
"SWARM_6019",0,3,4,4
"SWARM_35254",0,0,0,0
"SWARM_7762",0,0,0,0
"SWARM_10742",0,0,0,0
"SWARM_30998",0,0,0,0
"SWARM_25319",0,0,0,0
"SWARM_25315",0,0,0,0
"SWARM_20241",0,0,0,0
"SWARM_28095",0,0,0,0
"SWARM_16007",0,0,0,0
"SWARM_40006",0,0,0,0
"SWARM_40000",0,0,0,0
"SWARM_41754",0,0,0,0
"SWARM_11410",0,0,0,0
"SWARM_5210",0,0,0,0
"SWARM_1218",5,3,5,0
"SWARM_4193",0,0,0,0
"SWARM_16743",0,0,0,0
"SWARM_5248",0,1,1,1
"SWARM_5244",1,0,0,0
"SWARM_2730",0,0,0,1
"SWARM_22316",1,0,0,0
"SWARM_13487",0,0,0,0
"SWARM_13484",0,1,1,1
"SWARM_13481",1,0,0,0
"SWARM_53687",0,0,0,0
"SWARM_11242",0,0,0,0
"SWARM_69526",0,0,0,0
"SWARM_9081",0,0,0,0
"SWARM_7535",1,0,0,0
"SWARM_4848",4,0,0,0
"SWARM_4019",0,0,0,0
"SWARM_8456",0,0,0,0
"SWARM_8455",1,0,0,0
"SWARM_3569",0,0,0,0
"SWARM_3564",0,0,0,0
"SWARM_14490",0,0,0,0
"SWARM_14493",0,0,0,0
"SWARM_13140",0,0,0,0
"SWARM_50239",0,0,0,0
"SWARM_2960",0,0,0,1
"SWARM_11953",0,0,0,0
"SWARM_11954",0,0,0,0
"SWARM_35355",0,0,0,0
"SWARM_9252",0,0,0,0
"SWARM_9256",0,0,0,0
"SWARM_4620",0,0,1,0
"SWARM_27049",0,0,0,0
"SWARM_18619",0,0,0,0
"SWARM_4540",0,0,0,0
"SWARM_38859",0,0,0,0
"SWARM_38853",0,0,0,0
"SWARM_20717",0,0,0,0
"SWARM_35750",0,0,0,0
"SWARM_29639",0,0,0,0
"SWARM_3243",0,0,0,0
"SWARM_3246",0,0,0,0
"SWARM_13273",0,0,0,0
"SWARM_15644",0,0,0,0
"SWARM_15641",0,1,0,1
"SWARM_23023",0,0,0,0
"SWARM_23021",0,0,0,0
"SWARM_6031",0,0,0,0
"SWARM_30865",0,0,0,0
"SWARM_383",0,0,0,0
"SWARM_382",0,0,0,0
"SWARM_385",0,0,0,1
"SWARM_17096",0,0,0,0
