"","NSI","pi","piHC","piMetals"
"SWARM_28035",0,0,0,0
"SWARM_6710",0,36.03,0,38.04
"SWARM_9476",0,0,0,0
"SWARM_17389",0,0,0,0
"SWARM_17385",0,0,0,0
"SWARM_7042",84.17,0,0,0
"SWARM_68304",0,0,0,0
"SWARM_27665",0,0,0,0
"SWARM_11711",0,0,0,0
"SWARM_18832",0,0,0,0
"SWARM_1054",62.2,65.71,73.72,0
"SWARM_1056",0,0,0,0
"SWARM_10443",0,0,0,0
"SWARM_346",0,0,0,0
"SWARM_42219",0,0,0,0
"SWARM_22152",0,0,0,0
"SWARM_15465",0,0,0,0
"SWARM_15463",0,0,0,0
"SWARM_14732",0,0,0,0
"SWARM_9757",0,0,0,0
"SWARM_24127",0,0,0,0
"SWARM_22985",0,0,0,0
"SWARM_28591",0,0,0,0
"SWARM_23638",0,0,0,0
"SWARM_1934",0,0,0,0
"SWARM_13614",0,0,0,0
"SWARM_7974",0,0,0,0
"SWARM_574",0,0,0,0
"SWARM_575",0,0,0,0
"SWARM_576",0,0,0,0
"SWARM_577",0,0,0,0
"SWARM_579",0,0,0,0
"SWARM_53396",0,0,0,0
"SWARM_14352",0,0,0,0
"SWARM_14350",0,0,0,38.04
"SWARM_23908",0,0,0,0
"SWARM_30553",0,0,0,0
"SWARM_27955",0,0,0,0
"SWARM_27959",0,0,0,0
"SWARM_15347",0,0,0,0
"SWARM_58850",0,0,0,0
"SWARM_22826",0,0,0,0
"SWARM_877",0,71.88,61.96,69.3
"SWARM_49922",0,0,0,0
"SWARM_12637",0,0,0,0
"SWARM_10673",0,0,0,0
"SWARM_6305",0,0,0,0
"SWARM_6307",0,0,0,0
"SWARM_6300",0,51.7,51.8,0
"SWARM_6308",0,0,0,0
"SWARM_6309",0,0,0,0
"SWARM_5456",0,0,0,0
"SWARM_5453",0,0,0,0
"SWARM_10090",0,0,26.42,0
"SWARM_2100",97.84,0,0,0
"SWARM_2101",0,58.96,63.64,64.82
"SWARM_57566",0,0,0,0
"SWARM_49550",0,0,0,0
"SWARM_19756",0,0,0,0
"SWARM_19757",0,0,0,0
"SWARM_44645",0,0,0,0
