"","NSI","piMetals","pi","piHC"
"SWARM_10142",NA,NA,NA,NA
"SWARM_8412",NA,NA,NA,NA
"SWARM_8413",NA,NA,NA,NA
"SWARM_8418",NA,NA,NA,NA
"SWARM_3033",NA,NA,NA,NA
"SWARM_3032",NA,NA,NA,NA
"SWARM_3035",NA,NA,NA,NA
"SWARM_3037",NA,NA,NA,NA
"SWARM_3036",NA,NA,NA,NA
"SWARM_3039",NA,NA,NA,NA
"SWARM_3038",NA,NA,NA,NA
"SWARM_4504",NA,NA,NA,NA
"SWARM_26261",NA,NA,NA,NA
"SWARM_14723",NA,NA,NA,NA
"SWARM_1309",NA,2.54493384818008,2.40866648706897,3.66375
"SWARM_1308",NA,NA,NA,NA
"SWARM_1301",NA,NA,NA,NA
"SWARM_1300",NA,NA,NA,NA
"SWARM_1303",NA,0.115739600437876,0.168149250440917,3.16534722222222
"SWARM_1302",NA,0.108480432402846,1.87884035949948,4.035
"SWARM_1305",NA,0.108480432402846,0.153097062579821,NA
"SWARM_1307",NA,NA,NA,NA
"SWARM_17404",NA,NA,NA,NA
"SWARM_11129",NA,NA,NA,NA
"SWARM_11125",NA,NA,NA,NA
"SWARM_11124",NA,NA,NA,NA
"SWARM_11123",NA,NA,NA,NA
"SWARM_4213",NA,NA,NA,NA
"SWARM_4217",NA,NA,NA,NA
"SWARM_15800",NA,NA,NA,NA
"SWARM_15803",NA,NA,NA,NA
"SWARM_5163",NA,NA,NA,NA
"SWARM_5162",NA,NA,NA,NA
"SWARM_5167",NA,NA,NA,NA
"SWARM_5169",NA,NA,NA,NA
"SWARM_4316",NA,NA,NA,NA
"SWARM_4312",NA,NA,NA,NA
"SWARM_3858",NA,NA,NA,NA
"SWARM_8654",NA,NA,NA,NA
"SWARM_8656",NA,NA,NA,NA
"SWARM_8657",NA,NA,NA,NA
"SWARM_8658",NA,NA,NA,NA
"SWARM_6925",NA,NA,NA,NA
"SWARM_2309",23.425,NA,NA,0.242222222222223
"SWARM_2300",NA,NA,NA,NA
"SWARM_2301",NA,NA,NA,NA
"SWARM_2302",NA,NA,NA,NA
"SWARM_2304",NA,NA,NA,NA
"SWARM_2305",NA,NA,NA,NA
"SWARM_48517",NA,NA,NA,NA
"SWARM_506",9.135,3.10183382081281,3.24828725797072,4.18416666666667
"SWARM_501",NA,NA,NA,NA
"SWARM_502",18.45,NA,3.5157965158046,3.16534722222222
"SWARM_6533",NA,NA,NA,NA
"SWARM_6531",NA,NA,NA,NA
"SWARM_6530",NA,NA,NA,NA
"SWARM_508",NA,2.89433967911877,2.28683429118774,3.16534722222222
"SWARM_9216",NA,NA,NA,NA
"SWARM_5943",NA,NA,NA,NA
"SWARM_5941",NA,NA,NA,NA
"SWARM_5940",NA,NA,NA,NA
"SWARM_5947",NA,NA,NA,NA
"SWARM_5945",NA,NA,NA,NA
"SWARM_5949",NA,NA,NA,NA
"SWARM_5948",NA,NA,NA,NA
"SWARM_12339",NA,NA,NA,NA
"SWARM_702",9.135,3.10183382081281,3.5157965158046,4.18416666666667
"SWARM_18654",NA,NA,NA,NA
"SWARM_5041",NA,NA,NA,NA
"SWARM_3202",NA,NA,NA,NA
"SWARM_3209",NA,NA,NA,NA
"SWARM_7570",NA,NA,NA,NA
"SWARM_10741",NA,NA,NA,NA
"SWARM_10742",NA,NA,NA,NA
"SWARM_4383",NA,NA,NA,NA
"SWARM_15994",NA,NA,NA,NA
"SWARM_4381",NA,NA,NA,NA
"SWARM_15682",NA,NA,NA,NA
"SWARM_15680",NA,NA,NA,NA
"SWARM_15681",NA,NA,NA,NA
"SWARM_6994",NA,NA,NA,NA
"SWARM_6997",NA,NA,NA,NA
"SWARM_14086",NA,NA,NA,NA
"SWARM_14084",NA,NA,NA,NA
