"","NSI","piMetals","pi","piHC"
"SWARM_9527",0,0,0,0
"SWARM_9526",0,0,0,0
"SWARM_9521",0,0,0,0
"SWARM_13732",0,0,0,0
"SWARM_3002",0,0,0,0
"SWARM_17291",0,0,0,0
"SWARM_595",96.67,0,0,0
"SWARM_589",41.43,0,0,55.3
"SWARM_585",0,0,0,0
"SWARM_587",96.9,72.53,71.96,67.73
"SWARM_580",0,68.96,63.05,0
"SWARM_583",0,0,0,0
"SWARM_7260",0,0,0,0
"SWARM_7265",0,0,0,0
"SWARM_7849",0,0,0,0
"SWARM_11608",0,0,0,0
"SWARM_11607",0,0,0,0
"SWARM_11605",0,0,0,0
"SWARM_11600",0,0,0,0
"SWARM_18968",0,0,0,0
"SWARM_1147",0,23.56,0,0
"SWARM_1146",0,0,0,0
"SWARM_1145",0,52.79,60.08,45.99
"SWARM_1144",0,72.44,67.06,63
"SWARM_1143",66.91,57.99,59.82,68.4
"SWARM_1142",62.66,0,61.18,64.22
"SWARM_1141",75.13,0,67.06,76.1
"SWARM_1148",0,0,0,0
"SWARM_12951",0,0,0,0
"SWARM_12950",0,0,0,0
"SWARM_12956",0,0,0,0
"SWARM_10553",0,0,0,0
"SWARM_10552",0,0,0,0
"SWARM_1855",0,0,0,0
"SWARM_1854",0,0,0,0
"SWARM_1857",0,0,0,0
"SWARM_1856",0,0,0,0
"SWARM_1851",0,0,0,0
"SWARM_1853",97.21,0,0,43.54
"SWARM_1852",0,0,0,0
"SWARM_1859",0,0,0,0
"SWARM_655",0,0,0,0
"SWARM_6426",0,0,0,0
"SWARM_98",0,0,0,0
"SWARM_90",86.82,0,0,0
"SWARM_91",0,0,0,0
"SWARM_92",0,71.22,67.76,77.8
"SWARM_93",93.64,0,0,0
"SWARM_95",0,0,0,0
"SWARM_96",71.27,0,0,71.82
"SWARM_97",72.91,0,0,0
"SWARM_3175",0,0,0,0
"SWARM_3176",0,0,0,0
"SWARM_3172",0,0,0,0
"SWARM_3173",0,0,0,0
"SWARM_3178",0,0,0,0
"SWARM_3179",0,0,0,0
"SWARM_3288",0,0,0,0
"SWARM_3289",0,0,0,0
"SWARM_3286",0,0,0,0
"SWARM_3287",0,0,0,0
"SWARM_3282",0,0,0,0
"SWARM_3283",0,0,0,0
"SWARM_3280",0,0,0,0
"SWARM_3281",0,0,0,0
"SWARM_5736",0,0,0,0
"SWARM_5732",0,0,0,0
"SWARM_7929",0,0,0,0
"SWARM_7921",0,0,0,0
"SWARM_3829",0,0,0,0
"SWARM_3822",0,0,0,0
"SWARM_3820",0,0,0,0
"SWARM_3821",0,0,0,0
"SWARM_3825",0,0,0,0
"SWARM_14006",0,0,0,0
"SWARM_1468",0,0,64.89,67.24
"SWARM_1469",49.42,0,0,0
"SWARM_6973",0,0,0,0
"SWARM_1464",69.09,0,0,0
"SWARM_1466",30.59,0,0,26.05
"SWARM_1460",0,91.35,48.54,0
"SWARM_1461",0,0,0,0
"SWARM_1462",0,0,0,0
"SWARM_20555",0,0,0,0
"SWARM_6119",0,0,0,0
"SWARM_21608",0,0,0,0
"SWARM_6971",0,0,0,0
"SWARM_17728",0,0,0,0
"SWARM_20238",0,0,0,0
"SWARM_11376",0,0,0,0
"SWARM_11374",0,0,0,0
"SWARM_11373",0,0,0,0
"SWARM_10023",0,0,0,0
"SWARM_10029",0,0,0,0
"SWARM_10028",0,0,0,0
"SWARM_5759",0,0,0,0
"SWARM_5755",0,0,0,0
"SWARM_7440",0,0,0,0
"SWARM_7443",0,0,0,0
"SWARM_7445",0,0,0,0
"SWARM_8049",0,0,0,0
"SWARM_8048",0,0,0,0
"SWARM_8047",0,0,0,0
"SWARM_8041",0,0,0,0
"SWARM_4931",0,0,0,0
"SWARM_4930",0,0,0,0
"SWARM_4932",0,0,0,0
"SWARM_4937",0,0,0,0
"SWARM_4936",0,0,0,0
"SWARM_4939",0,0,0,0
"SWARM_11811",0,0,0,0
"SWARM_11810",0,0,0,0
